iterationnumber,timestamp,execution_time_ms,MC_throughput_secs,kernel_time_ms,overhead_time_ms,throughput_trials_per_second,comment,start_date,end_date,train_ratio,M,k,x,model_name,seed,nodes,threads,processes, indices,actual_freq,P_hat,count,std_error,ci_lower,ci_upper
0,2025-12-01 00:12:45,43,2325581,21.954,21.046,4554904.200,Default configuration for Monte Carlo risk analysis with GPU acceleration,2015-01-01,2025-12-31,0.8000,100000,5,0.0200,openmp_opt,67,1,1,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011673,0.039570,3957,0.000616,0.038362,0.040778
0,2025-12-01 00:12:45,142,704225,39.135,102.865,2555236.091,Default configuration for Monte Carlo risk analysis with GPU acceleration,2015-01-01,2025-12-31,0.8000,100000,5,0.0200,mpi_openmp,67,1,1,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011673,0.040040,4004,0.000620,0.038825,0.041255
0,2025-12-01 00:19:19,68,1470588,35.351,32.649,2828745.617,Default configuration for Monte Carlo risk analysis with GPU acceleration,2015-01-01,2025-12-31,0.8000,100000,5,0.0200,openmp,67,1,16,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011673,0.040480,4048,0.000623,0.039258,0.041702
0,2025-12-01 00:19:19,44,2272727,22.336,21.664,4477079.115,Default configuration for Monte Carlo risk analysis with GPU acceleration,2015-01-01,2025-12-31,0.8000,100000,5,0.0200,openmp_opt,67,1,16,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011673,0.039000,3900,0.000612,0.037800,0.040200
0,2025-12-01 00:19:19,65,1538462,20.802,44.198,4807293.626,Default configuration for Monte Carlo risk analysis with GPU acceleration,2015-01-01,2025-12-31,0.8000,100000,5,0.0200,mpi_openmp,67,1,16,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011673,0.039760,3976,0.000618,0.038549,0.040971
0,2025-12-05 17:45:57,34,2941176,4.676,29.324,21386416.480,Default configuration for Monte Carlo risk analysis with GPU acceleration,2015-01-01,2025-12-31,0.8000,100000,5,0.0200,openmp_opt,67,1,1,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011719,0.039050,3905,0.000613,0.037849,0.040251
0,2025-12-05 17:45:57,2348,42589,231.523,2116.477,431922.461,Default configuration for Monte Carlo risk analysis with GPU acceleration,2015-01-01,2025-12-31,0.8000,100000,5,0.0200,openmp,67,1,1,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011719,0.040500,4050,0.000623,0.039278,0.041722
0,2025-12-05 17:46:08,34,2941176,4.341,29.659,23036766.079,Default configuration for Monte Carlo risk analysis with GPU acceleration,2015-01-01,2025-12-31,0.8000,100000,5,0.0200,openmp_opt,67,1,1,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011719,0.039050,3905,0.000613,0.037849,0.040251
0,2025-12-05 17:46:08,1592,62814,141.291,1450.709,707759.649,Default configuration for Monte Carlo risk analysis with GPU acceleration,2015-01-01,2025-12-31,0.8000,100000,5,0.0200,openmp,67,1,1,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011719,0.040500,4050,0.000623,0.039278,0.041722
0,2025-12-05 17:46:10,33,3030303,3.768,29.232,26537829.801,Default configuration for Monte Carlo risk analysis with GPU acceleration,2015-01-01,2025-12-31,0.8000,100000,5,0.0200,openmp_opt,67,1,1,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011719,0.039050,3905,0.000613,0.037849,0.040251
